"WptName","GR(6)","Hill Name","Height","GridZN","GridEast","GridNorth","Latitude","Longitude","Climbed?"
"0994.M","NN111517","Sgurr na h-Ulaidh (Sgor na h-Ulaidh)"," 994.0","NN","11117","51793","56.61978700","-5.0800590",""
"1151.M","NH161351","Sgurr na Lapaich","1151.0","NH","16103","35125","57.36931100","-5.0597260",""
"0993.M","NH289426","Sgurr na Ruaidhe"," 993.0","NH","28900","42615","57.44149700","-4.8524650",""
"0946.M","NG946113","Sgurr na Sgine"," 946.0","NG","94618","11368","57.14709800","-5.3966340",""
"1151.M","NH057228","Sgurr nan Ceathreamhnan (Sgurr nan Ceathramhnan)","1151.0","NH","05702","22851","57.25491100","-5.2227320",""
"1093.M","NH184714","Sgurr nan Clach Geala","1093.0","NH","18428","71474","57.69628700","-5.0482380",""
"0956.M","NM902880","Sgurr nan Coireachan"," 956.0","NM","90290","88013","56.93572800","-5.4485510",""
"0953.M","NM933958","Sgurr nan Coireachan"," 953.0","NM","93308","95827","57.00715800","-5.4054400",""
"1109.M","NH129138","Sgurr nan Conbhairean","1109.0","NH","12987","13895","57.17762100","-5.0954240",""
"0923.m","NH184697","Sgurr nan Each"," 923.0","NH","18464","69770","57.68101700","-5.0463510",""
"0926.m","NG457195","Sgurr nan Eag"," 926.2","NG","45705","19536","57.19581000","-6.2112640",""
"0964.M","NG471253","Sgurr nan Gillean"," 964.0","NG","47159","25303","57.24827800","-6.1931330",""
"0963.M","NM939879","Sgurr Thuilm"," 963.0","NM","93906","87980","56.93705600","-5.3892070",""
"0981.M","NH004690","Slioch"," 981.0","NH","00468","69076","57.66717600","-5.3470470",""
"0996.M","NH065043","Spidean Mialach"," 996.0","NH","06592","04306","57.08896400","-5.1936140",""
"0937.M","NN222945","Sron a' Choire Ghairbh"," 937.0","NN","22247","94560","57.00784000","-4.9287470",""
"1105.m","NN316736","Stob a' Choire Mheadhoin","1105.0","NN","31652","73643","56.82368500","-4.7601830",""
"0945.M","NN257459","Stob a' Choire Odhair"," 945.0","NN","25731","45982","56.57330800","-4.8383020",""
"1000.M","NN147654","Stob Ban"," 999.7","NN","14777","65443","56.74370600","-5.0303280",""
"0977.M","NN266723","Stob Ban"," 977.0","NN","26669","72394","56.81064700","-4.8408760",""
"1165.M","NN434227","Stob Binnein","1165.0","NN","43481","22712","56.37071700","-4.5357530",""
"1177.M","NN261738","Stob Choire Claurigh","1177.0","NN","26196","73878","56.82378600","-4.8496240",""
"1044.M","NN169443","Stob Coir' an Albannaich","1044.0","NN","16952","44305","56.55492100","-4.9798100",""
"0981.M","NN185660","Stob Coire a' Chairn"," 981.4","NN","18559","66062","56.75074400","-4.9690250",""
"1116.m","NN239725","Stob Coire an Laoigh","1116.0","NN","23984","72532","56.81087700","-4.8848910",""
"1115.M","NN308730","Stob Coire Easain","1115.0","NN","30802","73066","56.81819900","-4.7737100",""
"1072.m","NN154536","Stob Coire Sgreamhach","1072.0","NN","15487","53665","56.63832200","-5.0102850",""
"0979.m","NN356743","Stob Coire Sgriodain"," 979.0","NN","35669","74381","56.83174500","-4.6949180",""
"0999.m","NN094308","Stob Daimh (Stob Diamh)"," 999.2","NN","09482","30858","56.43132700","-5.0913190",""
"1090.M","NN230455","Stob Ghabhar","1090.0","NN","23017","45515","56.56810300","-4.8820990",""
"1054.m","NN428888","Stob Poite Coire Ardair","1054.0","NN","42885","88844","56.96403700","-4.5857450",""
"0975.M","NN617174","Stuc a' Chroin"," 975.0","NN","61746","17465","56.32931500","-4.2375330",""
"0960.M","NN483448","Stuchd an Lochain (Stuc an Lochain)"," 960.0","NN","48305","44840","56.57090700","-4.4706020",""
"0933.m","NO134773","The Cairnwell"," 933.0","NO","13486","77358","56.87950200","-3.4211980",""
"1004.m","NN976951","The Devil's Point","1004.0","NN","97610","95117","57.03572800","-3.6887880",""
"1011.M","NG936131","The Saddle","1011.4","NG","93610","13124","57.16239500","-5.4147210",""
"1054.M","NH194282","Toll Creagach","1054.0","NH","19401","28280","57.30922700","-4.9999530",""
"0958.m","NO210800","Tolmount"," 958.0","NO","21051","80017","56.90472500","-3.2979290",""
"1112.m","NH164273","Tom a' Choinich","1112.0","NH","16402","27331","57.29951800","-5.0489590",""
"0957.m","NO213787","Tom Buidhe"," 957.0","NO","21367","78774","56.89361500","-3.2923560",""
